"IDENTIFIER","GSM526561","GSM526562","GSM526602","GSM526603","GSM526605","GSM526678"
"Khdc1a",3.3566,3.0265,3.21034,3.11759,2.5385,3.15593
"Khdc1c",4.24215,4.04365,4.08033,4.26047,4.12724,3.98273
"Khdc1c",4.01479,3.8643,3.99508,3.84279,3.95701,3.8546
"Mir30a",3.82957,4.04263,4.09857,4.18634,4.06784,4.00466
"Mir30c-2",3.07681,2.92231,2.70456,2.8024,2.79893,2.73384
"B3gat2",5.35534,5.17426,5.26065,4.9813,5.13473,5.09039
"Col9a1",5.71471,5.64668,5.70534,5.66603,5.86214,5.62372
"Lmbrd1",8.62622,8.59807,8.59248,8.614,8.55651,8.68279
"Ddx3x",7.41662,7.20915,7.10302,7.35245,7.24479,7.24506
"Cdk10",7.30205,7.21181,7.3773,7.35048,7.25098,7.38649
"Lgsn",5.06433,4.72625,5.0008,5.24878,5.13975,4.88972
"Pih1d3",2.40627,2.44958,2.70742,2.46289,2.32815,2.56138
"Paox",7.36477,7.63357,7.53313,7.48974,7.45394,7.47596
"Khdrbs2",3.1826,3.16174,3.21218,3.34589,3.1826,3.23622
"Rab23",5.33097,5.64502,5.48437,5.42391,5.16369,5.42949
"Dst",7.01833,7.01343,6.9903,7.02665,7.07311,6.96325
"Imp4",8.00651,7.91183,8.04819,8.00219,7.87762,8.07503
"Ptpn18",5.59468,5.61236,5.36153,5.63361,5.62988,5.33943
"Prss39",3.84512,3.95719,4.46114,4.22216,4.33826,4.32701
"Cfc1",5.48008,5.11457,5.29428,5.3066,5.22494,5.09217
"Amer3",5.02859,5.10911,4.78114,5.00167,5.0952,4.90469
"Arhgef4",5.38218,5.25228,5.42688,5.32329,5.3726,5.24324
"Plekhb2",6.97043,6.77696,6.88749,6.8828,6.98471,6.99028
"X16670",5.99943,5.60577,5.7284,5.22856,5.19265,6.05282
"Hs6st1",8.47126,8.56961,8.39733,8.3578,8.42582,8.54261
"Arid5a",6.02747,5.7099,5.96308,6.71599,6.53918,6.79713
"Cnnm4",6.0703,5.83338,5.77394,5.67681,5.76653,5.67232
"Cnnm3",6.73393,6.76813,6.69981,6.64984,6.46132,6.6445
"Cox5b",10.4198,10.6421,10.5647,10.5244,10.4887,10.5474
"Zap70",5.91585,5.73185,5.8194,5.93166,5.84624,5.58939
"Vwa3b",5.72328,5.85239,5.64028,5.57637,5.5902,5.47137
"Vwa3b",4.19302,4.35554,4.37276,4.19575,4.19302,3.96933
"Cnga3",4.63899,4.38365,4.54804,4.60972,4.87347,4.55983
"Inpp4a",7.914,8.04291,7.71893,7.91786,7.50164,7.80855
"Unc50",7.91618,7.90635,7.83781,7.8382,7.89509,7.90121
"Lipt1",4.75973,5.14829,5.05552,5.12138,5.0154,5.20641
"Mrpl30",8.6687,8.71906,8.72739,8.67173,8.67603,8.64077
"Eif5b",7.5562,7.66548,7.58343,7.54185,7.51652,7.66396
"Nms",4.50475,4.28636,4.58809,4.56576,4.59201,4.13788
"Pdcl3",7.11286,7.05834,7.09322,7.09891,7.09394,7.27958
"Npas2",5.37054,5.67349,5.39851,5.60236,5.59396,5.41311
